Régions,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val-de-Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
31/12/1990,6668168,2705826,2794317,2369808,249645,5274064,5770671,10644665,3126859,5114287,4546249,3055197,4257244
31/12/1991,6708765,2710540,2803483,2381407,251659,5288277,5783059,10695556,3139258,5132928,4580630,3071600,4293499
31/12/1992,6750446,2715591,2811473,2393043,251698,5303373,5797478,10753276,3151246,5150556,4615465,3090225,4326663
31/12/1993,6790892,2720016,2822722,2403487,253595,5323379,5812705,10793414,3162794,5167099,4651399,3110784,4356875
31/12/1994,6812295,2722947,2830583,2410394,256977,5339076,5822230,10833223,3171102,5177699,4676452,3128438,4383592
31/12/1995,6837322,2727049,2840680,2418315,258416,5353077,5832496,10858975,3179350,5191946,4703840,3145757,4405312
31/12/1996,6862646,2728671,2853664,2424326,259168,5364143,5843500,10883848,3185902,5203511,4736347,3164039,4426194
31/12/1997,6890849,2729120,2870354,2432034,259097,5374950,5849947,10895427,3192472,5218947,4769512,3182305,4451004
31/12/1998,6918402,2729147,2888237,2438205,259466,5378869,5851772,10912622,3198166,5236483,4807490,3200459,4479644
31/12/1999,6949608,2728086,2904075,2440295,260152,5387509,5855448,10946012,3202449,5257954,4842680,3219960,4502385
31/12/2000,7000751,2734330,2927612,2450121,264539,5400871,5860802,11019991,3211503,5296850,4900326,3248994,4541508
31/12/2001,7057821,2742346,2954324,2461778,269273,5416747,5869901,11102824,3221806,5340843,4962851,3281679,4584379
31/12/2002,7115944,2749892,2981765,2472978,274093,5432715,5879893,11185563,3231900,5386308,5030703,3314649,4629496
31/12/2003,7173919,2756739,3009249,2484288,279027,5446445,5887707,11270074,3240840,5431745,5099077,3347675,4675056
31/12/2004,7231833,2762934,3037077,2494279,283972,5458878,5893957,11350290,3249220,5476513,5167552,3379784,4719132
31/12/2005,7295515,2771934,3066585,2507246,289092,5475270,5904641,11442143,3259102,5526990,5240791,3415391,4768564
31/12/2006,7357284,2779461,3094534,2519567,294118,5490092,5912999,11532398,3267848,5574821,5310966,3450413,4815232
31/12/2007,7405206,2792562,3120288,2526919,299209,5506616,5922030,11598866,3278145,5627671,5371117,3482594,4864015
31/12/2008,7459092,2802519,3149701,2531588,302966,5521452,5931091,11659260,3293092,5671076,5419946,3510170,4882913
31/12/2009,7518004,2810648,3175064,2538590,305674,5531118,5944354,11728240,3303822,5708497,5473597,3539048,4889053
31/12/2010,7578078,2813878,3199066,2548065,309693,5532530,5953001,11786234,3310448,5745486,5518106,3571495,4899155
31/12/2011,7634223,2816174,3217767,2556835,314486,5539035,5960170,11852851,3315077,5773078,5573466,3601113,4916069
31/12/2012,7695264,2816814,3237097,2563586,316257,5548955,5973098,11898502,3322756,5808594,5626858,3632614,4935576
31/12/2013,7757595,2819783,3258707,2570548,320208,5552388,5987883,11959807,3328364,5844177,5683878,3660852,4953675
31/12/2014,7820966,2820623,3276543,2577435,324212,5554645,6006156,12027565,3335645,5879144,5730753,3690833,4983438
31/12/2015,7877698,2820940,3293850,2578592,327283,5559051,6009976,12082144,3339131,5911482,5774185,3718512,5007977
31/12/2016,7916889,2818338,3306529,2577866,330455,5555186,6006870,12117132,3335929,5935603,5808435,3737632,5021928
31/12/2017,7948287,2811423,3318904,2576252,334938,5549586,6003815,12174880,3330478,5956978,5845102,3757600,5030890
31/12/2018,7994459,2807807,3335414,2572853,338554,5550389,6004108,12213447,3327477,5979778,5885496,3781423,5052832
31/12/2019,8042936,2805580,3354854,2573180,340440,5556219,6004947,12262544,3325032,6010289,5933185,3806461,5081101
31/12/2020,8078652,2801695,3373835,2574863,343701,5562651,5997734,12271794,3325522,6033952,5973969,3832120,5098666
31/12/2021,8114361,2800194,3394567,2573303,347597,5561287,5995292,12317279,3327966,6069352,6022176,3853999,5127840
31/12/2022,8155762,2797366,3414637,2572916,350253,5563889,5990765,12354286,3327604,6098051,6067101,3878839,5150362
31/12/2023,8195542,2793968,3432901,2572735,352851,5565282,5986464,12388388,3326575,6125089,6110099,3902115,5173952
31/12/2024,8235923,2791719,3453023,2573295,355528,5568711,5983823,12419961,3327077,6154772,6154729,3926389,5198011
