region,date,consommation_mw,thermique_mw,nucleaire_mw,eolien_mw,solaire_mw,hydraulique_mw,pompage_mw,bioenergies_mw,ech_physiques_mw,tmoy_degc,consommation_secteur_mw,population,nb_total_entreprise
Auvergne-Rhône-Alpes,2019-01-01,398784.0,11265.0,523368.0,6076.0,1676.0,85558.0,-63298.0,6817.0,-172672.0,4.83,58158.325,8042936,548241
Auvergne-Rhône-Alpes,2019-01-02,445315.0,23630.0,532281.0,8747.0,3340.0,126498.0,-26944.0,6783.0,-229021.0,3.62,59649.951,8042936,548241
Auvergne-Rhône-Alpes,2019-01-03,491848.0,25148.0,538200.0,9392.0,4893.0,149550.0,-15716.0,6619.0,-226233.0,0.82,65030.278,8042936,548241
Auvergne-Rhône-Alpes,2019-01-04,504760.0,26000.0,536525.0,8306.0,3160.0,155814.0,-15979.0,6625.0,-215693.0,-0.25,66756.73700000001,8042936,548241
Auvergne-Rhône-Alpes,2019-01-05,470179.0,25220.0,512811.0,7389.0,1904.0,112853.0,-13469.0,6795.0,-183318.0,0.52,63730.283,8042936,548241
Auvergne-Rhône-Alpes,2019-01-06,449197.0,12815.0,551208.0,6029.0,1765.0,87110.0,-28085.0,6684.0,-188324.0,1.57,63359.23299999999,8042936,548241
Auvergne-Rhône-Alpes,2019-01-07,501808.0,26998.0,601567.0,5161.0,1592.0,130111.0,-15355.0,6386.0,-254647.0,1.92,65387.078,8042936,548241
Auvergne-Rhône-Alpes,2019-01-08,502484.0,28149.0,576372.0,5443.0,1011.0,128001.0,-20055.0,6340.0,-222775.0,2.84,67041.893,8042936,548241
Auvergne-Rhône-Alpes,2019-01-09,505565.0,28494.0,581709.0,10060.0,1655.0,139680.0,-8781.0,6466.0,-253707.0,2.15,66630.487,8042936,548241
Auvergne-Rhône-Alpes,2019-01-10,523680.0,29247.0,598565.0,9444.0,2169.0,193863.0,-9933.0,6672.0,-306341.0,0.94,64324.924,8042936,548241
Auvergne-Rhône-Alpes,2019-01-11,520575.0,30106.0,593161.0,6491.0,3063.0,143396.0,-11824.0,6524.0,-250332.0,-0.25,64425.92599999999,8042936,548241
Auvergne-Rhône-Alpes,2019-01-12,470343.0,14789.0,592785.0,5323.0,1721.0,95718.0,-25193.0,6765.0,-221559.0,2.29,63776.463,8042936,548241
Auvergne-Rhône-Alpes,2019-01-13,432252.0,13695.0,582178.0,9517.0,1806.0,71850.0,-46131.0,6805.0,-207473.0,5.66,62904.111000000004,8042936,548241
Auvergne-Rhône-Alpes,2019-01-14,468368.0,29072.0,599875.0,12187.0,1794.0,162233.0,-18992.0,6704.0,-324502.0,6.37,63401.658,8042936,548241
